# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
5.880000  0.9961874582  0.4010133105
5.900000  1.0019261363  0.4026006041
5.920000  1.0075409625  0.4041356317
5.940000  1.0130289507  0.4056173607
5.960000  1.0183871260  0.4070447648
5.980000  1.0236125262  0.4084168241
6.000000  1.0287022032  0.4097325261
6.020000  1.0336532241  0.4109908660
6.040000  1.0384626732  0.4121908471
6.060000  1.0431276525  0.4133314815
6.080000  1.0476452839  0.4144117908
6.100000  1.0520127100  0.4154308063
6.120000  1.0562270958  0.4163875697
6.140000  1.0602856300  0.4172811337
6.160000  1.0641855265  0.4181105624
6.180000  1.0679240254  0.4188749320
6.200000  1.0714983951  0.4195733311
6.220000  1.0749059330  0.4202048615
6.240000  1.0781439674  0.4207686385
6.260000  1.0812098586  0.4212637916
6.280000  1.0841010004  0.4216894648
6.300000  1.0868148216  0.4220448176
6.320000  1.0893487871  0.4223290248
6.340000  1.0917003997  0.4225412777
6.360000  1.0938672011  0.4226807842
6.380000  1.0958467736  0.4227467695
6.400000  1.0976367411  0.4227384766
6.420000  1.0992347709  0.4226551667
6.440000  1.1006385747  0.4224961196
6.460000  1.1018459103  0.4222606347
6.480000  1.1028545825  0.4219480308
6.500000  1.1036624449  0.4215576470
6.520000  1.1042674009  0.4210888434
6.540000  1.1046674052  0.4205410009
6.560000  1.1048604649  0.4199135222
6.580000  1.1048446411  0.4192058320
6.600000  1.1046180499  0.4184173779
6.620000  1.1041788638  0.4175476300
6.640000  1.1035253130  0.4165960824
6.660000  1.1026556864  0.4155622525
6.680000  1.1015683331  0.4144456826
6.700000  1.1002616634  0.4132459393
6.720000  1.0987341503  0.4119626146
6.740000  1.0969843303  0.4105953259
6.760000  1.0950108046  0.4091437166
6.780000  1.0928122405  0.4076074564
6.800000  1.0903873723  0.4059862418
6.820000  1.0877350024  0.4042797964
6.840000  1.0848540026  0.4024878710
6.860000  1.0817433148  0.4006102443
6.880000  1.0784019523  0.3986467234
6.900000  1.0748290006  0.3965971434
6.920000  1.0710236185  0.3944613686
6.940000  1.0669850393  0.3922392920
6.960000  1.0627125712  0.3899308363
6.980000  1.0582055986  0.3875359536
7.000000  1.0534635830  0.3850546263
7.020000  1.0484860635  0.3824868666
7.040000  1.0432726580  0.3798327175
7.060000  1.0378230639  0.3770922526
7.080000  1.0321370589  0.3742655763
7.100000  1.0262145014  0.3713528245
7.120000  1.0200553318  0.3683541640
7.140000  1.0136595728  0.3652697936
7.160000  1.0070273301  0.3620999436
7.180000  1.0001587930  0.3588448763
